头实体,关系,尾实体,来源,置信度,触发词,证据句,建议人工复核
艾伦·图灵,誉为,计算机科学与人工智能之父,auto_rule,0.83,模板:誉为|特征:触发词位于实体间|特征:距离偏远|特征:类型合法|特征:被动/受事提示,艾伦·麦席森·图灵，OBE，FRS（英语：Alan Mathison Turing，又译阿兰·图灵，Turing也常翻译成涂林或者杜林，1912年6月23日—1954年6月7日），英国电脑科学家、数学家、逻辑学家、密码分析学家和理论生物学家，他被誉为计算机科学与人工智能之父,否
艾伦·图灵,改进,Bombe,auto_rule,0.83,模板:改进|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,期间他设计了一些加速破译德国密码的技术，包括改进波兰战前研制的机器Bombe，一种可以找到恩尼格玛密码机设置的机电机器,否
艾伦·图灵,撰写,《计算机器和智能》,auto_rule,0.815,绑定:撰写|特征:距离偏远|特征:类型合法,图灵对于人工智能的发展有诸多贡献，例如图灵曾写过一篇名为《计算机器和智能》的论文，提问“机器会思考吗,否
艾伦·图灵,研究,图灵测试,auto_rule,0.9,模板:研究|特征:触发词位于实体间|特征:距离偏远|特征:类型合法|多证据:3,图灵在对人工智能的研究中，提出了一个叫做图灵测试的实验，尝试定出一个决定机器是否有感觉的标准,否
英国政府,迫害,艾伦·图灵,auto_open_ie,0.933,开放谓词:(?:迫害|处罚|起诉)|特征:类型合法|多证据:2,在2009年9月10日，一份超过3万人的请愿签名，使英国首相戈登·布朗在《每日电讯报》撰文，因为英国政府当年以同性恋相关罪名起诉图灵并定罪，让他自杀身亡，正式向艾伦·图灵公开道歉,否
艾伦·图灵,父亲,朱利斯·麦席森·图灵,auto_rule,0.85,模板:父亲|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,图灵的父亲朱利斯·麦席森·图灵（Julius Mathison Turing）是一名英属印度的公务员,否
艾伦·图灵,母亲,Ethel Sara Stoney,auto_rule,0.885,模板:母亲|特征:触发词位于实体间|特征:距离偏远|特征:类型合法|多证据:2,1911年，图灵的母亲Ethel Sara Stoney在英属印度怀了孕,否
艾伦·图灵,出生于,伦敦,auto_rule,0.872,模板:出生|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,因为他们希望艾伦在英国出生，所以回到伦敦，住在帕丁顿，并在那里生下了艾伦,否
艾伦·图灵,出生于,英国,auto_rule,0.52,出生|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,因为他们希望艾伦在英国出生，所以回到伦敦，住在帕丁顿，并在那里生下了艾伦,是
艾伦·图灵,就读于,剑桥大学国王学院,auto_rule,0.872,模板:就读|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,1931年，图灵考入剑桥大学国王学院攻读本科，并获得了数学一等荣誉,否
艾伦·图灵,毕业于,剑桥大学国王学院,auto_rule,0.85,绑定:毕业于|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,1934年他以优异成绩毕业,否
艾伦·图灵,提出,抽象装置,auto_rule,0.775,模板:提出|特征:距离偏远|特征:类型合法,"图灵在他的重要论文《论可计算数及其在判定问题上的应用》（英语：On Computable Numbers, with an Application to the Entscheidungsproblem）里，对哥德尔1931年在证明和计算的限制的结果作了重新论述，他用现在叫做图灵机的简单形式的抽象装置代替了哥德尔的以通用算术为基础的形式语言",否
艾伦·图灵,撰写,《论可计算数及其在判定问题上的应用》,auto_rule,0.762,模板:撰写|特征:距离偏远|特征:类型合法,"图灵在他的重要论文《论可计算数及其在判定问题上的应用》（英语：On Computable Numbers, with an Application to the Entscheidungsproblem）里，对哥德尔1931年在证明和计算的限制的结果作了重新论述，他用现在叫做图灵机的简单形式的抽象装置代替了哥德尔的以通用算术为基础的形式语言",否
艾伦·图灵,研究,计算理论,auto_rule,0.712,模板:研究|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,现今，图灵机还是计算理论研究的中心课题,否
艾伦·图灵,证明,判定问题,auto_rule,0.83,模板:证明|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,他继续证明了判定问题是没有答案的,否
艾伦·图灵,证明,停机问题,auto_rule,0.872,模板:证明|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,他的证明首先展示了图灵机的停机问题没有答案，这是说不可能用一个算法来决定一台指定的图灵机是否会停机,否
艾伦·图灵,开发,机电二进制乘法器,auto_rule,0.775,模板:开发|特征:距离偏远|特征:类型合法,除了他的纯数学工作外，他亦研究密码学，并建造了机电二进制乘法器的四个阶段中的其中三个,否
艾伦·图灵,研究,机电二进制乘法器,auto_rule,0.83,模板:研究|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,除了他的纯数学工作外，他亦研究密码学，并建造了机电二进制乘法器的四个阶段中的其中三个,否
艾伦·图灵,参与,第二次世界大战,auto_open_ie,0.803,开放谓词:(?:参与|参加|投身|主要参与者|期间)|特征:触发词位于实体间|特征:距离偏远|特征:类型合法|多证据:2,在第二次世界大战期间，图灵是布莱切利庄园破解德国密码的主要参与者,否
艾伦·图灵,任职于,英国密码破译组织政府密码和密码学校,auto_rule,0.83,模板:任职于|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,从1938年9月起，图灵在英国密码破译组织政府密码和密码学校(GC&CS)兼职工作,否
