实体名称,实体类型,实体子类型,来源,投票数,置信度
《官方保密法》,Book,Law,rule,2,1.0
《形态发生的化学基础》,Book,Paper,rule,2,1.0
《模仿游戏》,Book,Work,crf+rule,5,1.0
《自然》,Book,Work,rule,2,1.0
《艾伦·图灵选集》,Book,Book,crf+rule,4,1.0
《解码纳粹秘密》,Book,Work,rule,2,1.0
《计算机器和智能》,Book,Paper,rule,2,1.0
《论可计算数及其在判定问题上的应用》,Book,Paper,rule,2,1.0
反应-扩散公式,Concept,Theory,rule_context,2,1.0
图灵测试,Concept,Test,rule+rule_context+rule_heading+rule_phrase,15,1.0
1948年奥林匹克运动会,Event,SportsEvent,spacy,3,1.0
奥运会,Event,SportsEvent,spacy,6,1.0
第二次世界大战,Event,Event,spacy,9,1.0
伦敦,Location,Location,spacy,6,1.0
南安普顿,Location,Location,spacy,3,1.0
印度,Location,Country,crf+spacy,16,1.0
吉尔福德,Location,Location,spacy,3,1.0
多塞特郡,Location,AdministrativeRegion,rule_phrase+spacy,5,0.4
大西洋,Location,Location,rule_phrase+spacy,5,1.0
布莱切利庄园,Location,Place,rule_phrase,6,1.0
德国,Location,Country,crf+spacy,34,1.0
欧洲,Location,Location,spacy,3,1.0
法国,Location,Country,crf+spacy,5,1.0
波兰,Location,Country,spacy,9,1.0
美国,Location,Country,crf,2,1.0
美国新墨西哥州,Location,AdministrativeRegion,spacy,3,1.0
英国,Location,Country,crf+spacy,80,1.0
麦克纳利,Location,Location,spacy,3,1.0
恩尼格玛密码机,Machine,CipherMachine,rule_context+rule_phrase+spacy,9,0.667
自动计算引擎,Machine,Device,rule_context+rule_phrase,4,1.0
GCHQ,Organization,MilitaryAgency,rule_phrase+spacy,9,0.667
NVIDIA,Organization,Organization,rule_phrase+spacy,10,1.0
上议院,Organization,GovernmentAgency,spacy,3,1.0
中央研究院,Organization,ResearchInstitute,spacy,3,1.0
剑桥,Organization,Organization,spacy,3,1.0
剑桥大学,Organization,University,rule_phrase+spacy,5,1.0
剑桥大学国王学院,Organization,University,rule_context+rule_phrase,4,1.0
台大,Organization,Organization,spacy,3,1.0
国家物理实验室,Organization,ResearchInstitute,rule_context+rule_phrase+spacy,7,1.0
德国海军,Organization,MilitaryAgency,rule_phrase+spacy,5,1.0
普林斯顿大学,Organization,University,rule_context+rule_phrase+spacy,7,1.0
曼彻斯特大学计算机实验室,Organization,University,rule_context+rule_phrase,4,1.0
每日电讯报,Organization,MediaOrganization,rule+spacy,5,1.0
皇家学会,Organization,Association,rule_phrase+spacy,5,1.0
美国国会,Organization,GovernmentAgency,rule_phrase+spacy,5,1.0
英国军情六处,Organization,MilitaryAgency,rule_context+rule_phrase,4,1.0
英国司法部,Organization,GovernmentAgency,rule_phrase+spacy,5,1.0
英国密码破译组织政府密码和密码学校,Organization,University,rule_context+rule_phrase,6,1.0
英国皇家海军,Organization,MilitaryAgency,rule_context+rule_phrase+spacy,7,1.0
苹果公司,Organization,Company,rule_phrase,4,1.0
计算机协会,Organization,Association,rule_context+rule_phrase+spacy,7,1.0
马尔伯勒学院,Organization,University,rule_phrase+spacy,5,1.0
Asa Briggs,Person,Person,rule_context,4,1.0
Ethel Sara Stoney,Person,Person,spacy,6,1.0
Jane Eliza,Person,Person,spacy,3,1.0
Julius,Person,Person,spacy,3,1.0
Ronald Lewin,Person,Person,rule_context+spacy,7,1.0
Sara Stoney,Person,Person,rule_context,4,1.0
冯·诺依曼,Person,Person,spacy,3,1.0
史蒂夫·乔布斯,Person,Person,spacy,3,1.0
史蒂芬·弗莱,Person,Person,spacy,3,1.0
哈里·欣斯利,Person,Person,spacy,3,1.0
圣迈克尔,Person,Person,rule_parenthetical+spacy,5,0.6
希尔顿,Person,Person,spacy,6,1.0
本尼迪克特·康伯巴奇,Person,Person,spacy,3,1.0
朱利斯·麦席森·图灵,Person,Person,spacy,3,1.0
档案馆,Person,Person,spacy,15,1.0
汤姆·理查兹,Person,Person,spacy,3,1.0
温·诺克斯,Person,Person,spacy,3,1.0
爱因斯坦,Person,Person,spacy,6,1.0
艾伦·图灵,Person,Person,crf+spacy,42,1.0
艾伦·图灵年,Person,Person,spacy,3,1.0
阿尔伯特·爱因斯坦,Person,Person,spacy,3,1.0
阿隆佐·邱奇,Person,Person,spacy,3,1.0
