头实体,关系,尾实体,来源,置信度,触发词,证据句,建议人工复核
艾伦·图灵,研究,图灵测试,auto_rule,0.9,模板:研究|特征:触发词位于实体间|特征:距离偏远|特征:类型合法|多证据:3,图灵在对人工智能的研究中，提出了一个叫做图灵测试的实验，尝试定出一个决定机器是否有感觉的标准,否
英国政府,迫害,艾伦·图灵,auto_open_ie,0.933,开放谓词:(?:迫害|处罚|起诉)|特征:类型合法|多证据:2,在2009年9月10日，一份超过3万人的请愿签名，使英国首相戈登·布朗在《每日电讯报》撰文，因为英国政府当年以同性恋相关罪名起诉图灵并定罪，让他自杀身亡，正式向艾伦·图灵公开道歉,否
艾伦·图灵,父亲,朱利斯·麦席森·图灵,auto_rule,0.85,模板:父亲|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,图灵的父亲朱利斯·麦席森·图灵（Julius Mathison Turing）是一名英属印度的公务员,否
艾伦·图灵,母亲,Ethel Sara Stoney,auto_rule,0.885,模板:母亲|特征:触发词位于实体间|特征:距离偏远|特征:类型合法|多证据:2,1911年，图灵的母亲Ethel Sara Stoney在英属印度怀了孕,否
艾伦·图灵,出生于,伦敦,auto_rule,0.872,模板:出生|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,因为他们希望艾伦在英国出生，所以回到伦敦，住在帕丁顿，并在那里生下了艾伦,否
艾伦·图灵,就读于,剑桥大学国王学院,auto_rule,0.872,模板:就读|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,1931年，图灵考入剑桥大学国王学院攻读本科，并获得了数学一等荣誉,否
艾伦·图灵,毕业于,剑桥大学国王学院,auto_rule,0.85,绑定:毕业于|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,1934年他以优异成绩毕业,否
艾伦·图灵,证明,停机问题,auto_rule,0.872,模板:证明|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,他的证明首先展示了图灵机的停机问题没有答案，这是说不可能用一个算法来决定一台指定的图灵机是否会停机,否
艾伦·图灵,参与破解,恩尼格玛密码机,auto_rule,0.865,模板:参与破解|特征:触发词位于实体间|特征:距离偏远|特征:类型合法|多证据:2,他与高级GC&CS密码破译员第利温·诺克斯一起专注于对德国使用的恩尼格玛密码机进行密码分析,否
温·诺克斯,参与破解,恩尼格玛密码机,auto_rule,1.0,模板:破解|特征:局部触发词|特征:近距离|特征:类型合法,他与高级GC&CS密码破译员第利温·诺克斯一起专注于对德国使用的恩尼格玛密码机进行密码分析,否
英国皇家海军,聘请,艾伦·图灵,auto_rule,0.872,模板:聘请|特征:触发词位于实体间|特征:距离偏远|特征:类型合法|特征:被动/受事提示,1939年图灵被英国皇家海军招聘，并在英国军情六处监督下从事对德国机密军事密码的破译工作,否
艾伦·图灵,任职于,国家物理实验室,auto_rule,0.892,模板:任职|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,1945年到1948年，图灵在国家物理实验室负责自动计算引擎（ACE）的研究工作,否
艾伦·图灵,提出,图灵测试,auto_rule,0.872,模板:提出|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,图灵在对人工智能的研究中，提出了一个叫做图灵测试的实验，尝试定出一个决定机器是否有感觉的标准,否
艾伦·图灵,发表,《形态发生的化学基础》,auto_rule,0.85,绑定:发表|特征:触发词位于实体间|特征:距离偏远|特征:类型合法,他在1952年发表了一篇论文《形态发生的化学基础》（英语：The Chemical Basis of Morphogenesis）,否
剑桥大学国王学院,属于,剑桥大学,auto_rule,0.86,层级归一,1931年，图灵考入剑桥大学国王学院攻读本科，并获得了数学一等荣誉,否
