头实体,关系,尾实体
艾伦·图灵,出生于,伦敦
艾伦·图灵,国籍,英国
艾伦·图灵,死于,氰化物中毒
艾伦·图灵,就读于,剑桥大学
艾伦·图灵,就读于,普林斯顿大学
艾伦·图灵,博士导师,阿隆佐·邱奇
艾伦·图灵,任职于,布莱切利园
艾伦·图灵,任职于,国家物理实验室
艾伦·图灵,任职于,曼彻斯特大学
艾伦·图灵,任职于,GCHQ
艾伦·图灵,参与,第二次世界大战
艾伦·图灵,参与,设计Bombe破译机
艾伦·图灵,参与,图灵审判
艾伦·图灵,参与破解,恩尼格玛密码机
艾伦·图灵,提出,图灵机理论
艾伦·图灵,提出,图灵测试
艾伦·图灵,提出,自动计算引擎ACE
艾伦·图灵,提出,形态发生的化学基础
艾伦·图灵,获选院士,英国皇家学会
冯·诺依曼,同事,艾伦·图灵
琼·克拉克,同事,艾伦·图灵
琼·克拉克,任职于,布莱切利园
休·亚历山大,同事,艾伦·图灵
休·亚历山大,任职于,布莱切利园
马克斯·纽曼,同事,艾伦·图灵
马克斯·纽曼,任职于,布莱切利园
马克斯·纽曼,任职于,曼彻斯特大学
阿隆佐·邱奇,任职于,普林斯顿大学
阿尔伯特·爱因斯坦,任职于,普林斯顿大学
布莱切利园,属于,英国
国家物理实验室,属于,英国
剑桥大学,属于,英国
曼彻斯特大学,属于,英国
普林斯顿大学,属于,美国
恩尼格玛密码机,属于,德国
计算机协会,设立,图灵奖
英国政府,参与,图灵审判
英国皇家,参与,皇家赦免
艾伦·图灵,研究,计算机科学
艾伦·图灵,研究,人工智能
艾伦·图灵,研究,数学生物学
艾伦·图灵,就读于,国王学院
艾伦·图灵,撰写,《论可计算数》
艾伦·图灵,撰写,《计算机与智能》
