event_id,event_type,trigger,subject,time,location,object,participants,cause,result,previous_event,next_event,source,confidence,evidence_sentence,review_flag
E0001,研究事件,证明,艾伦·图灵,1922年,,,,,,,E0002,auto_event_rule,0.76,虽然说图灵不知道，该定理已在1922年由亚尔·瓦尔德马·林德伯格证明,是
E0002,教育事件,考入,艾伦·图灵,1926年,多塞特郡,,,,,E0001,E0003,auto_event_rule,0.91,1926年，他十三岁的时候考入在多塞特郡的舍伯恩学校,否
E0003,教育事件,考入,艾伦·图灵,1931年,剑桥大学国王学院,剑桥大学国王学院,剑桥大学；剑桥,,,E0002,E0004,auto_event_rule+relation,0.98,1931年，图灵考入剑桥大学国王学院攻读本科，并获得了数学一等荣誉,否
E0004,教育事件,攻读,艾伦·图灵,1931年,剑桥大学国王学院,剑桥大学国王学院,剑桥大学；剑桥,,,E0003,E0005,auto_event_rule+relation,0.98,1931年，图灵考入剑桥大学国王学院攻读本科，并获得了数学一等荣誉,否
E0005,研究事件,证明,艾伦·图灵,1931年,,,,,,E0004,E0006,auto_event_rule,0.76,"图灵在他的重要论文《论可计算数及其在判定问题上的应用》（英语：On Computable Numbers, with an Application to the Entscheidungsproblem）里，对哥德尔1931年在证明和计算的限制的结果作了重新论述，他用现在叫做图灵机的简单形式的抽象装置代替了哥德尔的以通用算术为基础的形式语言",是
E0006,教育事件,毕业,艾伦·图灵,1934年,剑桥大学国王学院,剑桥大学国王学院,,,,E0005,E0007,auto_event_rule+relation,0.92,1934年他以优异成绩毕业,否
E0007,获奖荣誉事件,被选为,艾伦·图灵,1935年,,,,证明中心极限定理的论文,,E0006,E0008,auto_event_rule,0.86,1935年，22岁的他凭借证明中心极限定理的论文被选为国王学院研究员,否
E0008,研究事件,研究,艾伦·图灵,1935年,,,,证明中心极限定理的论文被选为国王学院,,E0007,E0009,auto_event_rule,0.76,1935年，22岁的他凭借证明中心极限定理的论文被选为国王学院研究员,是
E0009,研究事件,证明,艾伦·图灵,1935年,,,,,,E0008,E0010,auto_event_rule,0.76,1935年，22岁的他凭借证明中心极限定理的论文被选为国王学院研究员,是
E0010,教育事件,学习,艾伦·图灵,1938年,普林斯顿大学,普林斯顿大学,Jane Eliza,,,E0009,E0011,auto_event_rule,0.94,1936年9月到1938年7月间，图灵大部分时间都在普林斯顿大学的教堂下学习，第二年被评选为简·伊丽莎·宝洁奖学金客座教授（Jane Eliza Procter Visiting Fellow）,否
E0011,任职事件,兼职工作,艾伦·图灵,1938年,英国密码破译组织政府密码和密码学校,英国密码破译组织政府密码和密码学校,,,,E0010,E0012,auto_event_rule,0.92,从1938年9月起，图灵在英国密码破译组织政府密码和密码学校(GC&CS)兼职工作,否
E0012,密码破译事件,解密,艾伦·图灵,1939年,法国,恩尼格玛密码机,,,,E0011,E0013,auto_event_rule,0.94,1939年7月，波兰密码局在华沙附近的会议上向英国和法国提供了恩尼格玛密码机机器的详细信息以及他们解密恩尼格玛密码机机器信息的方法,否
E0013,获奖荣誉事件,授予,艾伦·图灵,1946年,,,,,,E0012,E0014,auto_event_rule,0.86,图灵被授予1946年大英帝国勋章,否
E0014,任职事件,负责,艾伦·图灵,1948年,国家物理实验室,国家物理实验室,,,,E0013,E0015,auto_event_rule+relation,0.96,1945年到1948年，图灵在国家物理实验室负责自动计算引擎（ACE）的研究工作,否
E0015,研究事件,研究,国家物理实验室,1948年,,自动计算引擎,艾伦·图灵,,,E0014,E0016,auto_event_rule,0.79,1945年到1948年，图灵在国家物理实验室负责自动计算引擎（ACE）的研究工作,是
E0016,任职事件,负责,艾伦·图灵,1949年,曼彻斯特大学计算机实验室,曼彻斯特大学计算机实验室,,,,E0015,E0017,auto_event_rule,0.92,1949年，他成为曼彻斯特大学计算机实验室的副主任，负责最早的真正的计算机——曼彻斯特一号的软件工作,否
E0017,任职事件,副主任,艾伦·图灵,1949年,曼彻斯特大学计算机实验室,曼彻斯特大学计算机实验室,,,,E0016,E0018,auto_event_rule,0.92,1949年，他成为曼彻斯特大学计算机实验室的副主任，负责最早的真正的计算机——曼彻斯特一号的软件工作,否
E0018,获奖荣誉事件,被选为,艾伦·图灵,1951年,皇家学会,皇家学会,,,,E0017,E0019,auto_event_rule,0.92,他在1951年还被选为皇家学会（FRS）的成员,否
E0019,研究事件,研究,艾伦·图灵,1952年,,,,,,E0018,E0020,auto_event_rule,0.76,从1952年直到去世，图灵一直在生物数学方面做研究,是
E0020,发表事件,发表,艾伦·图灵,1952年,,《形态发生的化学基础》,,,,E0019,E0021,auto_event_rule+relation,0.94,他在1952年发表了一篇论文《形态发生的化学基础》（英语：The Chemical Basis of Morphogenesis）,否
E0021,死亡事件,死亡,艾伦·图灵,1954年,,,,食用浸过氰化物溶液的苹果而,,E0020,E0022,auto_event_rule,0.9,1954年，图灵因食用浸过氰化物溶液的苹果而死亡,否
E0022,密码破译事件,密码分析,艾伦·图灵,1954年,英国,,,,,E0021,E0023,auto_event_rule,0.91,艾伦·麦席森·图灵，OBE，FRS（英语：Alan Mathison Turing，又译阿兰·图灵，Turing也常翻译成涂林或者杜林，1912年6月23日—1954年6月7日），英国电脑科学家、数学家、逻辑学家、密码分析学家和理论生物学家，他被誉为计算机科学与人工智能之父,否
E0023,获奖荣誉事件,颁发,计算机协会,1966年,计算机协会,计算机协会,艾伦·图灵,,,E0022,E0024,auto_event_rule,0.92,自1966年以来，图灵奖每年由计算机协会颁发给计算机界，为其提供技术或理论贡献,否
E0024,法律迫害事件,赦免,英国司法部,2013年,英国,艾伦·图灵,,,,E0023,,auto_event_rule,0.9,2013年12月24日，英国司法部宣布英国女王伊丽莎白二世赦免1952年因同性恋行为被定罪的艾伦·图灵，不过有抗议者指出应将此赦免令范围扩大到所有和图灵同时代且受到同样待遇的同性恋者,否
E0025,死亡事件,自杀,艾伦·图灵,,,,,,,,,auto_event_rule,0.86,LGBT自杀人士列表,否
E0026,密码破译事件,密码分析,艾伦·图灵,,GCHQ,,,,,,,auto_event_rule,0.87,一位GCHQ数学家，“他只承认自己是理查德”，当时说，根据官方保密法，内容被封锁了大约 70 年这一事实证明了它们的重要性，以及它们与战后密码分析的相关性,否
E0027,研究事件,证明,艾伦·图灵,,,,GCHQ,,,,,auto_event_rule,0.72,一位GCHQ数学家，“他只承认自己是理查德”，当时说，根据官方保密法，内容被封锁了大约 70 年这一事实证明了它们的重要性，以及它们与战后密码分析的相关性,是
E0028,密码破译事件,破译,艾伦·图灵,,德国,恩尼格玛密码机,,,使得军情六处对德国的军事指挥和计划了如指掌,,,auto_event_rule,0.9,两年后他的小组成功破译了德国的密码系统恩尼格玛密码机，从而使得军情六处对德国的军事指挥和计划了如指掌,否
